bieming,daoyan,movie_name,ranking,score,score_num,url
以戏谑来戏谑戏谑。,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...",被嫌弃的松子的一生,59,8.9,277996,https://movie.douban.com/subject/1787291/
孪生蝙蝠侠大战克隆金刚狼。,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",致命魔术,60,8.8,338992,https://movie.douban.com/subject/1780330/
奔跑的孩子是天使。,"
                            导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...",小鞋子,61,9.2,134823,https://movie.douban.com/subject/1303021/
史诗大片的典范。,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...",勇敢的心,62,8.8,293156,https://movie.douban.com/subject/1294639/
浪漫忧郁的成人童话。,"
                            导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...",剪刀手爱德华,63,8.7,478942,https://movie.douban.com/subject/1292370/
用音乐化解仇恨，让歌声串起美好。,"
                            导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...",音乐之声,64,8.9,229416,https://movie.douban.com/subject/1294408/
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...",疯狂动物城,65,9.2,487279,https://movie.douban.com/subject/25662329/
故事的高级讲法。,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...",低俗小说,66,8.7,329700,https://movie.douban.com/subject/1291832/
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...",素媛,67,9.1,172907,https://movie.douban.com/subject/21937452/
在时间之河里感受溺水之苦。,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...",本杰明·巴顿奇事,68,8.7,388306,https://movie.douban.com/subject/1485260/
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...",入殓师,69,8.8,315687,https://movie.douban.com/subject/2149806/
